construction,designed_te,seed,orientation,eta,bandwidth,sample_gc,sample_gaussian_te,sample_canonical_cs,kde_cs
18,1.0571482929347722,1561301084,samplewise,0.05,0.18004566959845114,2.1422746106422696,1.0711373053211348,0.8218382645595546,0.19424971721827333
18,1.0571482929347722,1561301084,samplewise,0.2,0.7201826783938046,2.1422746106422696,1.0711373053211348,0.8218382645595546,0.053306650134985034
19,0.9257335906560282,837140438,official-featurewise,0.02,0.5874311800708499,1.7923757562469025,0.8961878781234512,0.6625406002502578,0.05126145179078634
19,0.9257335906560282,837140438,official-featurewise,0.05,1.468577950177125,1.7923757562469025,0.8961878781234512,0.6625406002502578,0.007367691226416895
19,0.9257335906560282,837140438,official-featurewise,0.2,5.8743118007085,1.7923757562469025,0.8961878781234512,0.6625406002502578,1.141727550546534e-05
19,0.9257335906560282,837140438,samplewise,0.02,0.057880508687866414,1.7923757562469025,0.8961878781234512,0.6625406002502578,0.15019563672460734
19,0.9257335906560282,837140438,samplewise,0.05,0.14470127171966604,1.7923757562469025,0.8961878781234512,0.6625406002502578,0.1891537626934774
19,0.9257335906560282,837140438,samplewise,0.2,0.5788050868786642,1.7923757562469025,0.8961878781234512,0.6625406002502578,0.05255428553186192
20,0.8486543085564199,1451878592,official-featurewise,0.02,0.5456288188733166,1.754435831879798,0.877217915939899,0.6456025860356376,0.07974496075560822
20,0.8486543085564199,1451878592,official-featurewise,0.05,1.3640720471832917,1.754435831879798,0.877217915939899,0.6456025860356376,0.014306225389393745
20,0.8486543085564199,1451878592,official-featurewise,0.2,5.456288188733167,1.754435831879798,0.877217915939899,0.6456025860356376,2.0489742805551714e-05
20,0.8486543085564199,1451878592,samplewise,0.02,0.05665219037513233,1.754435831879798,0.877217915939899,0.6456025860356376,0.18705754301314492
20,0.8486543085564199,1451878592,samplewise,0.05,0.14163047593783082,1.754435831879798,0.877217915939899,0.6456025860356376,0.22928859754893338
20,0.8486543085564199,1451878592,samplewise,0.2,0.5665219037513233,1.754435831879798,0.877217915939899,0.6456025860356376,0.07566450386466705
21,0.9555409488908365,1123149192,official-featurewise,0.02,0.5542467387083996,1.6681155454554366,0.8340577727277183,0.6073460327230829,0.058062893208992605
21,0.9555409488908365,1123149192,official-featurewise,0.05,1.385616846770999,1.6681155454554366,0.8340577727277183,0.6073460327230829,0.009074037103900423
21,0.9555409488908365,1123149192,official-featurewise,0.2,5.542467387083996,1.6681155454554366,0.8340577727277183,0.6073460327230829,1.190246387139382e-05
21,0.9555409488908365,1123149192,samplewise,0.02,0.05720429747131105,1.6681155454554366,0.8340577727277183,0.6073460327230829,0.16571124516533153
21,0.9555409488908365,1123149192,samplewise,0.05,0.14301074367827762,1.6681155454554366,0.8340577727277183,0.6073460327230829,0.21172287827861425
21,0.9555409488908365,1123149192,samplewise,0.2,0.5720429747131105,1.6681155454554366,0.8340577727277183,0.6073460327230829,0.05514708776330224
22,0.6759541204553232,762845722,official-featurewise,0.02,0.4849879332702951,1.2524204256368652,0.6262102128184326,0.42952970956627556,0.09294864099393507
22,0.6759541204553232,762845722,official-featurewise,0.05,1.2124698331757378,1.2524204256368652,0.6262102128184326,0.42952970956627556,0.015068598135002276
22,0.6759541204553232,762845722,official-featurewise,0.2,4.849879332702951,1.2524204256368652,0.6262102128184326,0.42952970956627556,1.81203911573391e-05
22,0.6759541204553232,762845722,samplewise,0.02,0.04870273701423354,1.2524204256368652,0.6262102128184326,0.42952970956627556,0.16612012022256817
22,0.6759541204553232,762845722,samplewise,0.05,0.12175684253558386,1.2524204256368652,0.6262102128184326,0.42952970956627556,0.16752510047424884
22,0.6759541204553232,762845722,samplewise,0.2,0.48702737014233544,1.2524204256368652,0.6262102128184326,0.42952970956627556,0.09252434865334713
