construction,p,q,spectral_radius,condition_state_cov,status,error,gc,gaussian_te,gaussian_cmi,direct_cs,spectral_gc,spectral_cs,max_rho2,rank,abs_gc_spectral_error,abs_cs_spectral_error,abs_te_cmi_error
158,3,1,0.4567246489649464,12.260757379605925,ok,,0.09698063186158001,0.04849031593079001,0.04849031593079001,0.025112569418318298,0.09698063186158012,0.025112569418318357,0.09242641602615229,1,1.1102230246251565e-16,5.898059818321144e-17,0.0
159,3,1,0.8393054541099704,11.498835126099294,ok,,0.4766300826262082,0.2383150413131041,0.2383150413131041,0.13873560469678425,0.47663008262620815,0.13873560469678403,0.3791278417828172,1,5.551115123125783e-17,2.220446049250313e-16,0.0
160,3,5,0.2337007953638981,9.358307367518298,ok,,0.05789158788541249,0.028945793942706244,0.028945793942706244,0.014614822342174705,0.05789158788541199,0.014614822342174053,0.034742085096957066,3,4.996003610813204e-16,6.522560269672795e-16,0.0
161,2,1,0.2863237609950191,4.6010094679877795,ok,,0.024904034324455482,0.012452017162227741,0.012452017162227741,0.00628391164916664,0.024904034324455523,0.0062839116491664815,0.024596487205935786,1,4.163336342344337e-17,1.5872719805187785e-16,0.0
162,2,4,0.24998500580898347,12.535479548384986,ok,,0.032822100206709726,0.016411050103354863,0.016411050103354863,0.008285240523785653,0.03282210020670969,0.00828524052378532,0.02855961069430424,2,3.469446951953614e-17,3.3306690738754696e-16,0.0
163,4,2,0.6868374908457551,12.592861171922788,ok,,0.213348822844744,0.106674411422372,0.106674411422372,0.05589055611158944,0.21334882284474382,0.05589055611158909,0.1457058957158603,2,1.6653345369377348e-16,3.469446951953614e-16,0.0
164,1,2,0.39184771941308155,5.115197304782857,ok,,0.03726258030270768,0.01863129015135384,0.01863129015135384,0.009445006704302816,0.03726258030270774,0.009445006704302577,0.036576873803215115,1,5.551115123125783e-17,2.393918396847994e-16,0.0
165,5,4,0.5102301956760882,8.657762012024113,ok,,0.608816397196255,0.3044081985981275,0.3044081985981275,0.16881845378008986,0.6088163971962551,0.16881845378009075,0.33317271781148605,4,1.1102230246251565e-16,8.881784197001252e-16,0.0
166,1,5,0.5103667534670504,9.744086663129254,ok,,0.13201909232097053,0.06600954616048527,0.06600954616048527,0.03460253497531429,0.1320190923209706,0.03460253497531436,0.12367573614446499,1,5.551115123125783e-17,6.938893903907228e-17,0.0
167,4,2,0.3464031005377889,6.155663106314567,ok,,0.28088794342102025,0.14044397171051012,0.14044397171051012,0.07665385822917958,0.2808879434210201,0.07665385822917883,0.2348737495442362,2,1.6653345369377348e-16,7.494005416219807e-16,0.0
