edge_id,source,target,gc,gaussian_te_cmi,canonical_cs,component_te_1,component_te_2,spectrum_spread_h,rank_one_gap_q,normalized_gap_qn,abs_gc_spectrum_error
000001.SS+399001.SZ->^HSI+^KS11,000001.SS;399001.SZ,^HSI;^KS11,0.009732407556761302,0.004866203778380651,0.0024405313977198667,0.004433244296516868,0.00043295948186218976,0.32422636499981755,1.4360560718264942e-06,0.32422631213821296,3.1866870253693946e-15
000001.SS+399001.SZ->^HSI+^N100,000001.SS;399001.SZ,^HSI;^N100,0.007100337021487491,0.0035501685107437453,0.0017794528480216247,0.0034123048801065255,0.00013786363063802672,0.14929992682918966,3.5219790090520314e-07,0.1492999104257038,1.614160194396419e-15
000001.SS+399001.SZ->^HSI+^N225,000001.SS;399001.SZ,^HSI;^N225,0.01243105837844638,0.00621552918922319,0.0031195027015280376,0.005561607748851601,0.0006539214403722017,0.3765561137568291,2.7191558020361883e-06,0.3765560219378719,1.2247147740396258e-15
000001.SS+399001.SZ->^HSI+^NZ50,000001.SS;399001.SZ,^HSI;^NZ50,0.007061583554161643,0.0035307917770808217,0.0017700452060792626,0.003523166996646793,7.62478043375231e-06,0.008619386385721288,2.0111941895955068e-08,0.008619385252252004,5.525094270986131e-16
000001.SS+399001.SZ->^HSI+^STI,000001.SS;399001.SZ,^HSI;^STI,0.0050499121565650285,0.0025249560782825142,0.0012641422915351923,0.00205406794812689,0.00047088813015549276,0.606854930036257,7.245109713983466e-07,0.6068549142892442,2.6281060661048627e-16
000001.SS+399001.SZ->^HSI+^STOXX50E,000001.SS;399001.SZ,^HSI;^STOXX50E,0.008530325513000037,0.004265162756500018,0.0021389382501304155,0.004117415413593216,0.0001477473429062516,0.13376211898283435,4.552792208724517e-07,0.13376209744924883,1.1015494072452725e-15
000001.SS+399001.SZ->^IXIC+^KS11,000001.SS;399001.SZ,^IXIC;^KS11,0.005794207263427609,0.0028971036317138044,0.0014507755818046215,0.002380748959598738,0.0005163546721135017,0.5858597263988503,9.206470023518255e-07,0.5858597054434957,3.12944115066216e-15
000001.SS+399001.SZ->^IXIC+^N100,000001.SS;399001.SZ,^IXIC;^N100,0.0023130118292797874,0.0011565059146398937,0.0005787445044829724,0.0011450597996394993,1.144611500135221e-05,0.039196794123302736,9.824179345030437e-09,0.039196793482994326,1.9155683983473892e-15
000001.SS+399001.SZ->^IXIC+^N225,000001.SS;399001.SZ,^IXIC;^N225,0.02590608571360775,0.012953042856803876,0.006536437084087115,0.012663702996435992,0.00028933986036956265,0.08735451772876986,2.730250717048084e-06,0.08735438652248147,3.3584246494910985e-15
000001.SS+399001.SZ->^IXIC+^NZ50,000001.SS;399001.SZ,^IXIC;^NZ50,0.006883328129784871,0.0034416640648924357,0.001724766790197419,0.003234345696587742,0.00020731836830564275,0.2264369286495307,5.020385619469193e-07,0.22643690740334432,1.897787482718627e-15
000001.SS+399001.SZ->^IXIC+^STI,000001.SS;399001.SZ,^IXIC;^STI,0.004165885487353194,0.002082942743676597,0.0010430014073734468,0.0020196114897257735,6.33312539528057e-05,0.11792102537388259,9.582845542609186e-08,0.11792102071762474,3.964710504344993e-15
000001.SS+399001.SZ->^IXIC+^STOXX50E,000001.SS;399001.SZ,^IXIC;^STOXX50E,0.0015218776205117024,0.0007609388102558512,0.000380623146102446,0.0006259735630741021,0.0001349652471812299,0.5836311557049912,6.333939678456434e-08,0.583631154089693,1.038232000372119e-15
000001.SS+399001.SZ->^KS11+^N100,000001.SS;399001.SZ,^KS11;^N100,0.010070937831702764,0.005035468915851382,0.0025258240344362016,0.004630477469685024,0.0004049914461660039,0.29583651549831214,1.4029338601048713e-06,0.29583646173472866,7.077671781985373e-16
000001.SS+399001.SZ->^KS11+^N225,000001.SS;399001.SZ,^KS11;^N225,0.008474232490716105,0.004237116245358052,0.0021252179761973968,0.004217134413647724,1.9981831711418917e-05,0.01877465537208718,6.306556729965274e-08,0.018774651975370267,2.1805474093028465e-15
000001.SS+399001.SZ->^KS11+^NZ50,000001.SS;399001.SZ,^KS11;^NZ50,0.004307835770855917,0.0021539178854279584,0.0010782232139964995,0.0018027953212685912,0.00035112256415990536,0.5457664918329583,4.742401287210346e-07,0.54576647988938,1.0763959168436088e-15
000001.SS+399001.SZ->^KS11+^STI,000001.SS;399001.SZ,^KS11;^STI,0.0071942192789151704,0.0035971096394575852,0.0018021041937865035,0.0030242556010474935,0.0005728540384096418,0.5355686083814644,1.2970045400826496e-06,0.5355685753977383,9.003214840319629e-16
