repetition,status,standardized_slope,directional_accuracy,predicted_reversal_fraction,reversal_risk_difference,temporal_predicted_sign_retention,temporal_both_signs_retention
142,ok,0.9999999999815008,0.5435134891816463,0.09176941218616592,0.09176941218616592,0.47421007252624636,0.0
143,ok,0.9999999999711132,0.5504900359359687,0.10130302733418242,0.10130302733418242,0.5066524657233182,0.0
144,ok,0.9999999999836893,0.5183564581073837,0.04121894930143683,0.04121894930143683,0.5289006103024463,0.0007704160246533128
145,ok,0.9999999999461477,0.6775954662789663,0.3642639831500117,0.3642639831500117,0.5071427363865362,0.0
146,ok,0.9999999999583518,0.6223045436875443,0.24679647954763098,0.24679647954763098,0.5166776554918767,0.0001926040061633282
147,ok,0.9999999999751469,0.5528352350958267,0.10287347197967932,0.10287347197967932,0.5110818075772177,0.0
148,ok,0.999999999978763,0.5419778403525954,0.08007008053113665,0.08007008053113665,0.5426958124123007,0.0003852080123266564
149,ok,0.9999999999764112,0.5420616199476129,0.08384481760277938,0.08384481760277938,0.5021216885597877,0.0001926040061633282
150,ok,0.9999999999844514,0.5360405386644453,0.07406073368059404,0.07406073368059404,0.5112339605416646,0.0001926040061633282
151,ok,0.9999999999744823,0.5491535299258732,0.09894873038977843,0.09894873038977843,0.5186556440296868,0.0
152,ok,0.999999999966745,0.5440531852717709,0.08603646481657758,0.08603646481657758,0.5436256360839208,0.0001926040061633282
153,ok,0.9999999999647113,0.6029746487716819,0.20877487975599265,0.20877487975599265,0.5232709506179101,0.0001926040061633282
154,ok,0.9999999999783387,0.5435752106793944,0.08795302813543157,0.08795302813543157,0.5261618569424017,0.0001926040061633282
155,ok,0.999999999932394,0.5888635394990849,0.18327605956471935,0.18327605956471935,0.5511656607665129,0.0005778120184899846
156,ok,0.9999999999800665,0.5415473179728654,0.08969592720008877,0.08969592720008877,0.523423103582357,0.0001926040061633282
157,ok,0.9999999999512228,0.5635840031238815,0.12408973647258596,0.12408973647258596,0.49662727595475986,0.0
158,ok,0.9999999999808482,0.5533888461727223,0.10649996727106108,0.10649996727106108,0.512079254788592,0.0005778120184899846
159,ok,0.999999999981359,0.5694695575646052,0.14342109452102766,0.14342109452102766,0.517117208500279,0.0001926040061633282
160,ok,0.9999999999394013,0.5687912087912088,0.1352417184745291,0.1352417184745291,0.5484607191763453,0.0003852080123266564
161,ok,0.9999999999793239,0.5659362378619919,0.12648289696676235,0.12648289696676235,0.520177173674156,0.0001926040061633282
162,ok,0.9999999999804362,0.554408674713578,0.1001362819798055,0.1001362819798055,0.49189362817196663,0.0001926040061633282
163,ok,0.999999999953592,0.5943869209809264,0.18688321619751647,0.18688321619751647,0.5450288245338202,0.0
164,ok,0.9999999999809298,0.5586513547231374,0.11141881883171251,0.11141881883171251,0.4991293469256648,0.0003852080123266564
165,ok,0.9999999999836902,0.5333876029352776,0.06039008861330863,0.06039008861330863,0.5296613751246809,0.0003852080123266564
166,ok,0.9999999999686716,0.5428556997828173,0.08557284299858557,0.08557284299858557,0.5127554901861338,0.0001926040061633282
167,ok,0.9999999999666046,0.5644153836512148,0.1400230965932525,0.1400230965932525,0.5210055620361448,0.0007704160246533128
168,ok,0.999999999984742,0.5449227726633333,0.08932552954292085,0.08932552954292085,0.5019695355953407,0.0003852080123266564
169,ok,0.9999999999515736,0.639429838152218,0.2839289940828402,0.2839289940828402,0.5000253588274078,0.0003852080123266564
170,ok,0.9999999999775268,0.5520044366978292,0.10937155457552371,0.10937155457552371,0.5432875183851499,0.0
171,ok,0.9999999999819492,0.5316638802926286,0.06195972261802983,0.06195972261802983,0.48807289817585503,0.0
172,ok,0.9999999999719044,0.5652957332540279,0.1274010605049689,0.1274010605049689,0.5038799005933966,0.0005778120184899846
173,ok,0.9999999999225689,0.5626700071581962,0.12204059637147477,0.12204059637147477,0.5304559517167926,0.0001926040061633282
174,ok,0.9999999999757795,0.5476118682909179,0.09921647503827564,0.09921647503827564,0.5421886358641443,0.0005778120184899846
175,ok,0.9999999999755184,0.5742004016664177,0.14611902542937025,0.14611902542937025,0.5330425521123904,0.0
176,ok,0.9999999999724467,0.545763468993794,0.08877936375856109,0.08877936375856109,0.5293401633108485,0.0005778120184899846
177,ok,0.9999999999690987,0.5448904578208021,0.08625602805786936,0.08625602805786936,0.5361870467109601,0.0005778120184899846
178,ok,0.9999999999467402,0.6023738872403561,0.20225814729278932,0.20225814729278932,0.511031089922402,0.0005778120184899846
179,ok,0.9999999999362726,0.5810538885080601,0.17063561547890035,0.17063561547890035,0.51838514987067,0.0001926040061633282
180,ok,0.9999999999814629,0.5509948403474936,0.10548440065681446,0.10548440065681446,0.5070243951919663,0.0001926040061633282
181,ok,0.9999999999750877,0.5738605061152532,0.155229531471841,0.155229531471841,0.5189768558435192,0.0001926040061633282
182,ok,0.9999999999679905,0.5520538133349943,0.11294748851407604,0.11294748851407604,0.5283089043295971,0.0
183,ok,0.999999999982981,0.6035783227282476,0.20712830229149537,0.20712830229149537,0.5035755946645027,0.0001926040061633282
184,ok,0.9999999999680792,0.5560150102011076,0.11118809714827511,0.11118809714827511,0.5334144815810383,0.0005778120184899846
185,ok,0.9999999999593854,0.5642577615444822,0.12365328109696376,0.12365328109696376,0.5107267839935081,0.0003852080123266564
186,ok,0.9999999999608783,0.5672079938277413,0.14073825001868043,0.14073825001868043,0.4996872411286369,0.000963020030816641
187,ok,0.999999999982835,0.544052261248687,0.08567059095106186,0.08567059095106186,0.5277002924718094,0.0
188,ok,0.9999999999804975,0.59413419462388,0.1876759461995621,0.1876759461995621,0.5000591705972849,0.0005778120184899846
189,ok,0.99999999996249,0.5520778104832075,0.10554561717352415,0.10554561717352415,0.5207181619921895,0.0001926040061633282
190,ok,0.999999999977948,0.5651363081513631,0.13042004271620844,0.13042004271620844,0.5365758820645466,0.0001926040061633282
191,ok,0.9999999999803075,0.5635037571828496,0.1306899460807688,0.1306899460807688,0.5334482933509155,0.0007704160246533128
192,ok,0.9999999999789002,0.5441496118560338,0.08481156134882403,0.08481156134882403,0.5086473601460668,0.0001926040061633282
193,ok,0.9999999999705127,0.5428830953595104,0.08410230211692583,0.08410230211692583,0.5350881641899545,0.0
194,ok,0.9999999999746835,0.5358204226945648,0.0757816958519809,0.0757816958519809,0.5089009484201451,0.0001926040061633282
195,ok,0.9999999999879334,0.5564199732501115,0.11179056843796728,0.11179056843796728,0.5075822893949383,0.0
196,ok,0.999999999982723,0.5331597824829342,0.06378486240660819,0.06378486240660819,0.5088840425352065,0.0001926040061633282
197,ok,0.9999999999881656,0.5585216178521618,0.11524163568773234,0.11524163568773234,0.5195854677013069,0.0003852080123266564
198,ok,0.9999999999639324,0.5606141248720573,0.11568885959129861,0.11568885959129861,0.5262632922520329,0.0003852080123266564
199,ok,0.9999999999738186,0.5532638741229002,0.10832163494499036,0.10832163494499036,0.513752937397508,0.0001926040061633282
