repetition,gc_low_edge,gc_high_edge,cs_low_edge,cs_high_edge,gc_order_retained,cs_reverse_retained,both_retained
190,0.33390565014503437,0.22856955580963145,0.09327138486478206,0.06156443153766019,0,1,0
191,0.1530901799554769,0.10886180543135993,0.04032423917395758,0.028266132955076066,0,1,0
192,0.32100278073550825,0.24324114182682877,0.08896593838305586,0.06611928933250846,0,1,0
193,0.2694133551171056,0.18006715108137783,0.0734539647007567,0.04790034763332557,0,1,0
194,0.24626576979488846,0.21373126611596405,0.06680119454056482,0.05743539755491452,0,1,0
195,0.38942077818704846,0.24147360280390373,0.1105927097168114,0.06560394267019391,0,1,0
196,0.25420974918309724,0.21991000306751118,0.06927319330061427,0.059337941150836036,0,1,0
197,0.23131802088822795,0.1828373820222744,0.0625727632423449,0.04873138289499609,0,1,0
198,0.19911146026404225,0.12789733081376653,0.05318091935031111,0.03345976625284792,0,1,0
199,0.23349995216500474,0.2258922660673548,0.0632807369631575,0.060957362103939414,0,1,0
