experiment_kind,model,dimension,component_te_spec,sample_size,seed,source_scale,eta,bandwidth_orientation,median,sigma,kde_cs,theory_te,theory_gc,theory_cs,theory_rho2,sample_gc,sample_te,sample_canonical_cs,sample_rho2,gc_vs_canonical_error
main,larger_gc_spread,2,0.55;0.55,256,29,1.0,0.02,samplewise,3.2722903265255825,0.06544580653051166,0.09448367961359505,1.1,2.2,0.7350795173984352,"[0.6671289163019205, 0.6671289163019205]",2.279995093527268,1.139997546763634,0.7685702186749191,0.717490610513;0.637942268902,-1.7763568394002505e-15
main,larger_gc_spread,2,0.55;0.55,256,29,1.0,0.05,official-featurewise,22.452870985573306,1.1226435492786653,0.0395774738902297,1.1,2.2,0.7350795173984352,"[0.6671289163019205, 0.6671289163019205]",2.279995093527268,1.139997546763634,0.7685702186749191,0.717490610513;0.637942268902,-1.7763568394002505e-15
main,larger_gc_spread,2,0.55;0.55,256,29,1.0,0.05,samplewise,3.2722903265255825,0.16361451632627913,0.2070247778759695,1.1,2.2,0.7350795173984352,"[0.6671289163019205, 0.6671289163019205]",2.279995093527268,1.139997546763634,0.7685702186749191,0.717490610513;0.637942268902,-1.7763568394002505e-15
main,larger_gc_spread,2,0.55;0.55,256,29,1.0,0.2,official-featurewise,22.452870985573306,4.490574197114661,4.757499678831323e-05,1.1,2.2,0.7350795173984352,"[0.6671289163019205, 0.6671289163019205]",2.279995093527268,1.139997546763634,0.7685702186749191,0.717490610513;0.637942268902,-1.7763568394002505e-15
main,larger_gc_spread,2,0.55;0.55,256,29,1.0,0.2,samplewise,3.2722903265255825,0.6544580653051165,0.1628143419627559,1.1,2.2,0.7350795173984352,"[0.6671289163019205, 0.6671289163019205]",2.279995093527268,1.139997546763634,0.7685702186749191,0.717490610513;0.637942268902,-1.7763568394002505e-15
main,larger_gc_spread,2,0.55;0.55,256,47,1.0,0.02,official-featurewise,22.461126791593156,0.4492225358318631,0.17274885508153215,1.1,2.2,0.7350795173984352,"[0.6671289163019205, 0.6671289163019205]",2.1484309705334006,1.0742154852667003,0.714543529963547,0.665303822256;0.651423959801,1.7763568394002505e-15
main,larger_gc_spread,2,0.55;0.55,256,47,1.0,0.02,samplewise,3.2716788013666895,0.0654335760273338,0.06850550394011101,1.1,2.2,0.7350795173984352,"[0.6671289163019205, 0.6671289163019205]",2.1484309705334006,1.0742154852667003,0.714543529963547,0.665303822256;0.651423959801,1.7763568394002505e-15
main,larger_gc_spread,2,0.55;0.55,256,47,1.0,0.05,official-featurewise,22.461126791593156,1.1230563395796578,0.03844624553605591,1.1,2.2,0.7350795173984352,"[0.6671289163019205, 0.6671289163019205]",2.1484309705334006,1.0742154852667003,0.714543529963547,0.665303822256;0.651423959801,1.7763568394002505e-15
main,larger_gc_spread,2,0.55;0.55,256,47,1.0,0.05,samplewise,3.2716788013666895,0.1635839400683345,0.17649844101880507,1.1,2.2,0.7350795173984352,"[0.6671289163019205, 0.6671289163019205]",2.1484309705334006,1.0742154852667003,0.714543529963547,0.665303822256;0.651423959801,1.7763568394002505e-15
main,larger_gc_spread,2,0.55;0.55,256,47,1.0,0.2,official-featurewise,22.461126791593156,4.492225358318631,3.8556704712533474e-05,1.1,2.2,0.7350795173984352,"[0.6671289163019205, 0.6671289163019205]",2.1484309705334006,1.0742154852667003,0.714543529963547,0.665303822256;0.651423959801,1.7763568394002505e-15
