experiment_kind,model,dimension,component_te_spec,sample_size,source_scale,eta,bandwidth_orientation,replicates,sample_gc_mean,sample_gc_sd,sample_te_mean,sample_te_sd,sample_canonical_cs_mean,sample_canonical_cs_sd,kde_cs_mean,kde_cs_sd,theory_gc,theory_te,theory_cs,max_abs_gc_canonical_error
main,equal_gc_spread,2,0.5;0.5,512,1.0,0.2,samplewise,5,1.9526947957287217,0.08198932448153849,0.9763473978643609,0.040994662240769246,0.6382306252889984,0.032094091756140385,0.13341268420161115,0.014084647677436586,2.0,1.0,0.6559778784857395,6.8833827526759706e-15
main,larger_gc_spread,2,0.55;0.55,1024,1.0,0.02,official-featurewise,5,2.1690824732259966,0.04607558501108349,1.0845412366129983,0.023037792505541745,0.7231949720331334,0.018423436427012684,0.05745262368221944,0.004829346002707576,2.2,1.1,0.7350795173984352,1.7319479184152442e-14
main,larger_gc_spread,2,0.55;0.55,1024,1.0,0.02,samplewise,5,2.1690824732259966,0.04607558501108349,1.0845412366129983,0.023037792505541745,0.7231949720331334,0.018423436427012684,0.1677198806449242,0.013701548735816525,2.2,1.1,0.7350795173984352,1.7319479184152442e-14
main,larger_gc_spread,2,0.55;0.55,1024,1.0,0.05,official-featurewise,5,2.1690824732259966,0.04607558501108349,1.0845412366129983,0.023037792505541745,0.7231949720331334,0.018423436427012684,0.0025118695457287286,0.00019988724482503578,2.2,1.1,0.7350795173984352,1.7319479184152442e-14
main,larger_gc_spread,2,0.55;0.55,1024,1.0,0.05,samplewise,5,2.1690824732259966,0.04607558501108349,1.0845412366129983,0.023037792505541745,0.7231949720331334,0.018423436427012684,0.2262712111812423,0.015218612572506047,2.2,1.1,0.7350795173984352,1.7319479184152442e-14
main,larger_gc_spread,2,0.55;0.55,1024,1.0,0.2,official-featurewise,5,2.1690824732259966,0.04607558501108349,1.0845412366129983,0.023037792505541745,0.7231949720331334,0.018423436427012684,3.3154700602722186e-07,1.3178162643314452e-08,2.2,1.1,0.7350795173984352,1.7319479184152442e-14
main,larger_gc_spread,2,0.55;0.55,1024,1.0,0.2,samplewise,5,2.1690824732259966,0.04607558501108349,1.0845412366129983,0.023037792505541745,0.7231949720331334,0.018423436427012684,0.11556312021909285,0.006668656204139081,2.2,1.1,0.7350795173984352,1.7319479184152442e-14
main,larger_gc_spread,2,0.55;0.55,256,1.0,0.02,official-featurewise,5,2.1834182665723016,0.10249123466406349,1.0917091332861508,0.05124561733203174,0.7294684508224555,0.0408892472239309,0.1882747501413217,0.02292666998873772,2.2,1.1,0.7350795173984352,5.329070518200751e-15
main,larger_gc_spread,2,0.55;0.55,256,1.0,0.02,samplewise,5,2.1834182665723016,0.10249123466406349,1.0917091332861508,0.05124561733203174,0.7294684508224555,0.0408892472239309,0.07810915282190312,0.010013662198356236,2.2,1.1,0.7350795173984352,5.329070518200751e-15
main,larger_gc_spread,2,0.55;0.55,256,1.0,0.05,official-featurewise,5,2.1834182665723016,0.10249123466406349,1.0917091332861508,0.05124561733203174,0.7294684508224555,0.0408892472239309,0.03679938146532642,0.002915232751698171,2.2,1.1,0.7350795173984352,5.329070518200751e-15
main,larger_gc_spread,2,0.55;0.55,256,1.0,0.05,samplewise,5,2.1834182665723016,0.10249123466406349,1.0917091332861508,0.05124561733203174,0.7294684508224555,0.0408892472239309,0.22087162833298687,0.03222186509010076,2.2,1.1,0.7350795173984352,5.329070518200751e-15
main,larger_gc_spread,2,0.55;0.55,256,1.0,0.2,official-featurewise,5,2.1834182665723016,0.10249123466406349,1.0917091332861508,0.05124561733203174,0.7294684508224555,0.0408892472239309,4.073983262600223e-05,5.023030017390748e-06,2.2,1.1,0.7350795173984352,5.329070518200751e-15
main,larger_gc_spread,2,0.55;0.55,256,1.0,0.2,samplewise,5,2.1834182665723016,0.10249123466406349,1.0917091332861508,0.05124561733203174,0.7294684508224555,0.0408892472239309,0.1477264734447786,0.011465794400360689,2.2,1.1,0.7350795173984352,5.329070518200751e-15
main,larger_gc_spread,2,0.55;0.55,512,1.0,0.02,official-featurewise,5,2.1510440775349164,0.08665902104139617,1.0755220387674582,0.043329510520698084,0.716225972264462,0.0347050541326182,0.14060085208424516,0.01756026489587152,2.2,1.1,0.7350795173984352,5.773159728050814e-15
main,larger_gc_spread,2,0.55;0.55,512,1.0,0.02,samplewise,5,2.1510440775349164,0.08665902104139617,1.0755220387674582,0.043329510520698084,0.716225972264462,0.0347050541326182,0.12353604404556454,0.01550082299582789,2.2,1.1,0.7350795173984352,5.773159728050814e-15
main,larger_gc_spread,2,0.55;0.55,512,1.0,0.05,official-featurewise,5,2.1510440775349164,0.08665902104139617,1.0755220387674582,0.043329510520698084,0.716225972264462,0.0347050541326182,0.009871913504434105,0.0012269998457969085,2.2,1.1,0.7350795173984352,5.773159728050814e-15
main,larger_gc_spread,2,0.55;0.55,512,1.0,0.05,samplewise,5,2.1510440775349164,0.08665902104139617,1.0755220387674582,0.043329510520698084,0.716225972264462,0.0347050541326182,0.22257153497610743,0.028944562529091448,2.2,1.1,0.7350795173984352,5.773159728050814e-15
main,larger_gc_spread,2,0.55;0.55,512,1.0,0.2,official-featurewise,5,2.1510440775349164,0.08665902104139617,1.0755220387674582,0.043329510520698084,0.716225972264462,0.0347050541326182,3.725535267307123e-06,2.5630438179123444e-07,2.2,1.1,0.7350795173984352,5.773159728050814e-15
main,larger_gc_spread,2,0.55;0.55,512,1.0,0.2,samplewise,5,2.1510440775349164,0.08665902104139617,1.0755220387674582,0.043329510520698084,0.716225972264462,0.0347050541326182,0.12794867151960573,0.013705368917980566,2.2,1.1,0.7350795173984352,5.773159728050814e-15
main,scalar_te_0.05,1,0.05,1024,1.0,0.02,official-featurewise,5,0.10042597999165674,0.01907834123225257,0.05021298999582837,0.009539170616126285,0.02606203752373803,0.0051050338018946125,0.009305744797340764,0.0021758871628306227,0.1,0.05,0.02592178699925464,1.4016565685892601e-15
main,scalar_te_0.05,1,0.05,1024,1.0,0.02,samplewise,5,0.10042597999165674,0.01907834123225257,0.05021298999582837,0.009539170616126285,0.02606203752373803,0.0051050338018946125,0.24122652352420176,0.02256160024247422,0.1,0.05,0.02592178699925464,1.4016565685892601e-15
main,scalar_te_0.05,1,0.05,1024,1.0,0.05,official-featurewise,5,0.10042597999165674,0.01907834123225257,0.05021298999582837,0.009539170616126285,0.02606203752373803,0.0051050338018946125,0.0003662308337339937,7.250021634519636e-05,0.1,0.05,0.02592178699925464,1.4016565685892601e-15
main,scalar_te_0.05,1,0.05,1024,1.0,0.05,samplewise,5,0.10042597999165674,0.01907834123225257,0.05021298999582837,0.009539170616126285,0.02606203752373803,0.0051050338018946125,0.24605111822518352,0.014617834274281963,0.1,0.05,0.02592178699925464,1.4016565685892601e-15
main,scalar_te_0.05,1,0.05,1024,1.0,0.2,official-featurewise,5,0.10042597999165674,0.01907834123225257,0.05021298999582837,0.009539170616126285,0.02606203752373803,0.0051050338018946125,3.2128237847928176e-08,7.264748225432441e-09,0.1,0.05,0.02592178699925464,1.4016565685892601e-15
main,scalar_te_0.05,1,0.05,1024,1.0,0.2,samplewise,5,0.10042597999165674,0.01907834123225257,0.05021298999582837,0.009539170616126285,0.02606203752373803,0.0051050338018946125,0.030239118293046374,0.006052629003209902,0.1,0.05,0.02592178699925464,1.4016565685892601e-15
main,scalar_te_0.05,1,0.05,256,1.0,0.02,official-featurewise,5,0.0995807025170387,0.034000271478246656,0.04979035125851935,0.017000135739123328,0.02589161371738153,0.009126607514232912,0.047327249441908845,0.0062405139189527295,0.1,0.05,0.02592178699925464,8.604228440844963e-16
main,scalar_te_0.05,1,0.05,256,1.0,0.02,samplewise,5,0.0995807025170387,0.034000271478246656,0.04979035125851935,0.017000135739123328,0.02589161371738153,0.009126607514232912,0.18866291872016774,0.02284139050374877,0.1,0.05,0.02592178699925464,8.604228440844963e-16
main,scalar_te_0.05,1,0.05,256,1.0,0.05,official-featurewise,5,0.0995807025170387,0.034000271478246656,0.04979035125851935,0.017000135739123328,0.02589161371738153,0.009126607514232912,0.004903792152023101,0.0021866269403309087,0.1,0.05,0.02592178699925464,8.604228440844963e-16
main,scalar_te_0.05,1,0.05,256,1.0,0.05,samplewise,5,0.0995807025170387,0.034000271478246656,0.04979035125851935,0.017000135739123328,0.02589161371738153,0.009126607514232912,0.23587788710704755,0.022317292601514504,0.1,0.05,0.02592178699925464,8.604228440844963e-16
main,scalar_te_0.05,1,0.05,256,1.0,0.2,official-featurewise,5,0.0995807025170387,0.034000271478246656,0.04979035125851935,0.017000135739123328,0.02589161371738153,0.009126607514232912,4.964999014589466e-06,6.582336842759964e-07,0.1,0.05,0.02592178699925464,8.604228440844963e-16
main,scalar_te_0.05,1,0.05,256,1.0,0.2,samplewise,5,0.0995807025170387,0.034000271478246656,0.04979035125851935,0.017000135739123328,0.02589161371738153,0.009126607514232912,0.052127160636773695,0.00722751036176731,0.1,0.05,0.02592178699925464,8.604228440844963e-16
main,scalar_te_0.05,1,0.05,512,1.0,0.02,official-featurewise,5,0.08991143239627597,0.03573162141054632,0.044955716198137985,0.01786581070527316,0.023315616284155134,0.009544112738629228,0.01711711704306538,0.004058770164471161,0.1,0.05,0.02592178699925464,9.853229343548264e-16
